Property Type,Beds,Bath,House Sqft,Lot Sqft,Price,Address,City,State,Lat,Lon,Ocean Distance,Year Built,Last Updated,Value Change Last 30 Days,Last Sold Date,Last Sold Price,Zestimate,Date Scraped,Id,Url
SingleFamily,5,7,4198,9583,"$2,795,000 ",7721 Hillside Dr,LA JOLLA,CA,32.84763,-117.25942,0.299392827,2000,1/20/2019,618918,9/29/2006,1360000,3703516,1/21/2019,16851231,https://www.zillow.com/homedetails/7721-Hillside-Dr-La-Jolla-CA-92037/16851231_zpid/
Condominium,2,3,1779,,"$2,795,000 ",1020 Prospect St,La Jolla,CA,32.847979,-117.274739,0.099887566,2017,1/20/2019,,,,4314217,1/21/2019,2088964437,https://www.zillow.com/homedetails/1020-Prospect-St-La-Jolla-CA-92037/2088964437_zpid/
SingleFamily,4,6,2686,7501,"$2,799,000 ",5543 Waverly Ave,La Jolla,CA,32.813829,-117.265428,1.517605445,,1/20/2019,-315728,5/31/2018,1325000,2499199,1/21/2019,2087868281,https://www.zillow.com/homedetails/5543-Waverly-Ave-La-Jolla-CA-92037/2087868281_zpid/
SingleFamily,4,3,3501,10890,"$2,825,000 ",2915 Woodford Dr,LA JOLLA,CA,32.849165,-117.240783,1.243582367,1971,1/20/2019,843335,11/19/2001,1500000,2962253,1/21/2019,16840088,https://www.zillow.com/homedetails/2915-Woodford-Dr-La-Jolla-CA-92037/16840088_zpid/
SingleFamily,5,3,6059,47916,"$2,839,000 ",8051 La Jolla Scenic Dr N,LA JOLLA,CA,32.852217,-117.238625,1.356036258,1965,1/20/2019,-50675,6/21/2004,2600000,2798059,1/21/2019,16840056,https://www.zillow.com/homedetails/8051-La-Jolla-Scenic-Dr-N-La-Jolla-CA-92037/16840056_zpid/
SingleFamily,3,5,3303,7120,"$2,850,000 ",7363 Eads Ave,LA JOLLA,CA,32.838205,-117.273982,0.453210585,2018,1/20/2019,-9719,6/16/2016,1850000,3283824,1/21/2019,16849245,https://www.zillow.com/homedetails/7363-Eads-Ave-La-Jolla-CA-92037/16849245_zpid/
SingleFamily,5,6,3777,7501,"$2,890,000 ",1526 Bluebird Ln,LA JOLLA,CA,32.847394,-117.266618,0.122334665,1999,1/20/2019,-55261,7/20/2005,2430000,2971316,1/21/2019,16848082,https://www.zillow.com/homedetails/1526-Bluebird-Ln-La-Jolla-CA-92037/16848082_zpid/
SingleFamilyVacantResidentialLand,5,4,3446,2439310454,"$2,900,000 ",1191 Avenida Amantea 1191 Avenida Amantea,LA JOLLA LA JOLLA,CA CA,32.81925932,-117.25991,1.497271372,1990,01/20/201901/01/1970,271818,03/18/201403/18/2014,1.695E+12,2933042,1/21/2019,1.68556E+15,https://www.zillow.com/homedetails/1191-Avenida-Amantea-La-Jolla-CA-92037/16855587_zpid/https://www.zillow.com/homedetails/1191-Avenida-Amantea-La-Jolla-CA-92037/99459138_zpid/
SingleFamily,4,5,4182,9583,"$2,950,000 ",1951 Bahia Way,LA JOLLA,CA,32.81863,-117.239839,2.556806825,2015,1/20/2019,24517,10/28/2013,1575000,2523561,1/21/2019,16857165,https://www.zillow.com/homedetails/1951-Bahia-Way-La-Jolla-CA-92037/16857165_zpid/
SingleFamily,4,4,4337,19214,"$2,950,000 ",7770 Starlight Dr,LA JOLLA,CA,32.850139,-117.243149,1.09892091,1970,1/20/2019,-159145,,,3003505,1/21/2019,16839761,https://www.zillow.com/homedetails/7770-Starlight-Dr-La-Jolla-CA-92037/16839761_zpid/
SingleFamily,7,10,12940,37026,"$2,995,000 ",1247 Inspiration Dr,LA JOLLA,CA,32.824682,-117.264613,1.07530878,2018,1/20/2019,17329,5/16/2017,2475000,8436108,1/21/2019,16854876,https://www.zillow.com/homedetails/1247-Inspiration-Dr-La-Jolla-CA-92037/16854876_zpid/
VacantResidentialLand,,,,20037,"$2,995,000 ",1136 Muirlands Dr LOT 19,La Jolla,CA,32.826963,-117.265979,0.943763626,,1/1/1970,,,,,1/21/2019,2088576004,https://www.zillow.com/homedetails/1136-Muirlands-Dr-LOT-19-La-Jolla-CA-92037/2088576004_zpid/
SingleFamily,5,7,4419,10890,"$2,995,000 ",7096 Caminito Valverde,LA JOLLA,CA,32.837235,-117.255628,0.98073621,1995,1/20/2019,-33480,6/10/2014,2253500,2927240,1/21/2019,16852131,https://www.zillow.com/homedetails/7096-Caminito-Valverde-La-Jolla-CA-92037/16852131_zpid/
VacantResidentialLand,,,,20037,"$2,995,000 ",1136 Muirlands Dr,LA JOLLA,CA,32.826963,-117.265979,0.943763626,,1/1/1970,,4/2/2018,7400000,,1/21/2019,99466775,https://www.zillow.com/homedetails/1136-Muirlands-Dr-La-Jolla-CA-92037/99466775_zpid/
SingleFamily,4,5,3719,11401,"$2,995,000 ",1246 Virginia Way,LA JOLLA,CA,32.843764,-117.269892,0.389076596,1985,1/20/2019,-184273,2/20/2013,1790000,2978418,1/21/2019,16848384,https://www.zillow.com/homedetails/1246-Virginia-Way-La-Jolla-CA-92037/16848384_zpid/
SingleFamily,4,4,2556,13100,"$2,995,000 ",7370 Rue Michael,LA JOLLA,CA,32.843404,-117.251622,0.834281183,1973,1/20/2019,-30259,3/18/2005,2000000,2128941,1/21/2019,16851631,https://www.zillow.com/homedetails/7370-Rue-Michael-La-Jolla-CA-92037/16851631_zpid/
SingleFamily,4,4,3588,10890,"$2,998,000 ",1034 Havenhurst Dr,LA JOLLA,CA,32.824382,-117.267173,0.952415981,2008,1/20/2019,24933,,,3062678,1/21/2019,16854844,https://www.zillow.com/homedetails/1034-Havenhurst-Dr-La-Jolla-CA-92037/16854844_zpid/
SingleFamily,4,4,2750,7501,"$3,095,000 ",8384 La Jolla Shores Dr,LA JOLLA,CA,32.858908,-117.253858,0.682091355,1990,1/20/2019,-89330,8/2/2002,912000,3050397,1/21/2019,16838623,https://www.zillow.com/homedetails/8384-La-Jolla-Shores-Dr-La-Jolla-CA-92037/16838623_zpid/
SingleFamily,4,4,3127,5300,"$3,149,000 ",9455 Poole St,LA JOLLA,CA,32.871688,-117.244242,1.718524792,2017,1/20/2019,573122,12/20/2017,2650000,2654245,1/21/2019,16834949,https://www.zillow.com/homedetails/9455-Poole-St-La-Jolla-CA-92037/16834949_zpid/
VacantResidentialLand,0,,,59677,"$3,195,000 ",6083 La Jolla Scenic Dr S,LA JOLLA,CA,32.825218,-117.25271,1.718157103,,1/1/1970,,6/30/2017,2025000,,1/21/2019,16856478,https://www.zillow.com/homedetails/6083-La-Jolla-Scenic-Dr-S-La-Jolla-CA-92037/16856478_zpid/
SingleFamily,4,4,3250,7405,"$3,195,000 ",7154 Eads Ave,La Jolla,CA,32.83614,-117.27378,0.456288268,1930,1/20/2019,140892,,,3030027,1/21/2019,2088716746,https://www.zillow.com/homedetails/7154-Eads-Ave-La-Jolla-CA-92037/2088716746_zpid/
VacantResidentialLand,,,,59677,"$3,195,000 ",6083 La Jolla Scenic Dr S LOT S,La Jolla,CA,32.825218,-117.25271,1.718157103,,1/1/1970,,,,,1/21/2019,2086806973,https://www.zillow.com/homedetails/6083-La-Jolla-Scenic-Dr-S-LOT-S-La-Jolla-CA-92037/2086806973_zpid/
SingleFamily,3,4,3000,21780,"$3,200,000 ",8030 El Paseo Grande,LA JOLLA,CA,32.853327,-117.256088,0.358450879,1991,1/20/2019,274140,11/5/2009,1790000,3309718,1/21/2019,16839018,https://www.zillow.com/homedetails/8030-El-Paseo-Grande-La-Jolla-CA-92037/16839018_zpid/
SingleFamily,5,4,3460,18299,"$3,275,000 ",5341 Chelsea St,LA JOLLA,CA,32.809723,-117.266018,1.732591877,2008,1/20/2019,-22764,6/26/2013,2320000,3240018,1/21/2019,16907566,https://www.zillow.com/homedetails/5341-Chelsea-St-La-Jolla-CA-92037/16907566_zpid/
SingleFamily,6,5,4757,3998,"$3,295,000 ",331 Playa Del Norte,LA JOLLA,CA,32.829541,-117.278433,0.208276226,2005,1/20/2019,-82529,7/26/2012,1940000,4287892,1/21/2019,61239759,https://www.zillow.com/homedetails/331-Playa-Del-Norte-La-Jolla-CA-92037/61239759_zpid/
Condominium,3,3,2075,11325,"$3,295,000 ",203 Rosemont St,LA JOLLA,CA,32.826796,-117.279386,0.32615582,1960,1/20/2019,-101048,5/12/2005,1240000,2637994,1/21/2019,16850332,https://www.zillow.com/homedetails/203-Rosemont-St-La-Jolla-CA-92037/16850332_zpid/
SingleFamily,3,3,2971,5662,"$3,295,000 ",5663 Chelsea Ave,LA JOLLA,CA,32.814996,-117.271059,1.27092021,1970,1/20/2019,-86810,7/27/2015,1800000,2761755,1/21/2019,16855636,https://www.zillow.com/homedetails/5663-Chelsea-Ave-La-Jolla-CA-92037/16855636_zpid/
SingleFamily,4,5,3670,2282,"$3,295,000 ",342 Playa Del Sur,La Jolla,CA,32.829619,-117.278179,0.218031048,2005,1/20/2019,-14003,6/9/2009,2100000,3289300,1/21/2019,61239761,https://www.zillow.com/homedetails/342-Playa-Del-Sur-La-Jolla-CA-92037/61239761_zpid/
VacantResidentialLand,,,,11761,"$3,295,000 ",6947 Country Club Dr LOT 5,La Jolla,CA,32.836447,-117.260505,0.927739318,,1/1/1970,,,,,1/21/2019,2087067839,https://www.zillow.com/homedetails/6947-Country-Club-Dr-LOT-5-La-Jolla-CA-92037/2087067839_zpid/
VacantResidentialLand,3,,1954,11761,"$3,295,000 ",6947 Country Club Dr,LA JOLLA,CA,32.836447,-117.260505,0.927739318,1945,1/1/1970,,8/17/2018,4150000,,1/21/2019,16851582,https://www.zillow.com/homedetails/6947-Country-Club-Dr-La-Jolla-CA-92037/16851582_zpid/
VacantResidentialLand,,,,7405,"$3,300,000 ",1271 Cave St LOT 51/27,La Jolla,CA,32.847898,-117.270578,0.144878287,,1/1/1970,,,,,1/21/2019,2088947267,https://www.zillow.com/homedetails/1271-Cave-St-LOT-51-27-La-Jolla-CA-92037/2088947267_zpid/
